orientation	count	pct_of_all_reads	pct_of_flanked_reads
R1|R1_rc	2510	0.5473179241168774	0.890386661936857
R1|R1	126	0.027474923680767552	0.044696700957786446
R1_rc|R1_rc	102	0.022241604884430877	0.03618304363249379
R1_rc|R1	81	0.017662450937636284	0.028733593472862716
