read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
331_HG8Z82_1	1745	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
332_HG8Z82_1	1738	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	59	78	True	True	True	R1|R1_rc
333_HG8Z82_1	501	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
334_HG8Z82_1	1041	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
335_HG8Z82_1	744	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
336_HG8Z82_1	200	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
337_HG8Z82_1	1106	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
338_HG8Z82_1	587	R1	29.0	20	16	4	0.8	1.0	4	20	R1	22.0	20	15	5	0.75	1.0	14	34	True	False	False	NA
339_HG8Z82_1	335	R1_rc	18.5	20	15	5	0.75	1.0	54	77	R1_rc	38.0	20	19	1	0.95	1.0	60	79	False	True	False	NA
340_HG8Z82_1	637	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	55	74	True	True	True	R1|R1_rc
341_HG8Z82_1	304	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
342_HG8Z82_1	312	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	19.5	20	17	3	0.85	1.0	39	70	True	True	True	R1|R1_rc
343_HG8Z82_1	438	R1_rc	16.5	20	14	6	0.7	1.0	53	75	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
344_HG8Z82_1	1196	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	55	75	True	True	True	R1|R1_rc
345_HG8Z82_1	929	R1	40.0	20	20	0	1.0	1.0	0	20	R1	19.5	20	17	3	0.85	1.0	9	43	True	True	True	R1|R1
346_HG8Z82_1	437	R1	17.0	20	13	7	0.65	1.0	52	74	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
347_HG8Z82_1	864	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
348_HG8Z82_1	404	R1	37.0	20	19	1	0.95	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
349_HG8Z82_1	331	R1	40.0	20	20	0	1.0	1.0	0	20	R1	16.0	20	15	5	0.75	1.0	53	81	True	False	False	NA
350_HG8Z82_1	1870	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
351_HG8Z82_1	251	R1_rc	18.0	20	16	4	0.8	1.0	51	80	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1_rc|R1_rc
352_HG8Z82_1	1364	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
353_HG8Z82_1	883	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
354_HG8Z82_1	1919	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
355_HG8Z82_1	579	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
356_HG8Z82_1	1228	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	18.5	20	18	2	0.9	1.0	41	76	True	True	True	R1|R1_rc
357_HG8Z82_1	453	R1_rc	19.0	20	12	8	0.6	1.0	3	20	R1	18.5	20	15	5	0.75	1.0	33	56	False	False	False	NA
358_HG8Z82_1	583	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
359_HG8Z82_1	1500	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
360_HG8Z82_1	672	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	21.5	20	16	4	0.8	1.0	12	37	False	True	False	NA
361_HG8Z82_1	1363	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
362_HG8Z82_1	845	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
363_HG8Z82_1	701	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
364_HG8Z82_1	510	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	60	79	True	True	True	R1|R1_rc
365_HG8Z82_1	514	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
366_HG8Z82_1	956	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
367_HG8Z82_1	626	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
368_HG8Z82_1	1821	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
369_HG8Z82_1	384	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	30.5	20	17	3	0.85	1.0	61	81	True	True	True	R1|R1_rc
370_HG8Z82_1	1017	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
371_HG8Z82_1	867	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
372_HG8Z82_1	1749	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
373_HG8Z82_1	421	R1	18.5	20	14	6	0.7	1.0	54	76	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
374_HG8Z82_1	1208	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
375_HG8Z82_1	1058	R1	36.0	20	19	1	0.95	1.0	1	21	R1_rc	28.5	20	16	4	0.8	1.0	63	83	True	True	True	R1|R1_rc
376_HG8Z82_1	1372	R1	36.0	20	18	2	0.9	1.0	2	20	R1_rc	36.0	20	18	2	0.9	1.0	61	79	True	True	True	R1|R1_rc
377_HG8Z82_1	925	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
378_HG8Z82_1	580	R1	20.0	20	16	4	0.8	1.0	19	46	R1_rc	40.0	20	20	0	1.0	1.0	29	49	True	True	True	R1|R1_rc
379_HG8Z82_1	498	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
380_HG8Z82_1	1495	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
381_HG8Z82_1	482	R1	20.5	20	16	4	0.8	1.0	49	73	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
382_HG8Z82_1	1502	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
383_HG8Z82_1	579	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
384_HG8Z82_1	584	R1_rc	18.0	20	14	6	0.7	1.0	42	65	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
385_HG8Z82_1	912	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	26.5	20	16	4	0.8	1.0	62	82	True	True	True	R1|R1_rc
386_HG8Z82_1	350	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	23.0	20	15	5	0.75	1.0	57	79	True	False	False	NA
387_HG8Z82_1	590	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	22.0	20	11	9	0.55	1.0	69	80	True	False	False	NA
388_HG8Z82_1	550	R1	34.0	20	18	2	0.9	1.0	1	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
389_HG8Z82_1	367	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	16.0	20	15	5	0.75	1.0	53	81	False	False	False	NA
390_HG8Z82_1	726	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
391_HG8Z82_1	477	R1	31.0	20	17	3	0.85	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
392_HG8Z82_1	484	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
393_HG8Z82_1	600	R1	40.0	20	20	0	1.0	1.0	7	27	R1	16.5	20	14	6	0.7	1.0	26	50	True	False	False	NA
394_HG8Z82_1	409	R1_rc	22.0	20	13	7	0.65	1.0	60	77	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
395_HG8Z82_1	1493	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
396_HG8Z82_1	432	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	60	79	True	True	True	R1|R1_rc
397_HG8Z82_1	460	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
398_HG8Z82_1	469	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
399_HG8Z82_1	1089	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	21.5	20	15	5	0.75	1.0	26	47	True	False	False	NA
400_HG8Z82_1	2101	R1_rc	18.5	20	13	7	0.65	1.0	48	67	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
401_HG8Z82_1	1542	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
402_HG8Z82_1	2123	R1	40.0	20	20	0	1.0	1.0	2	22	R1	18.5	20	16	4	0.8	1.0	32	60	True	True	True	R1|R1
403_HG8Z82_1	810	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	23.5	20	16	4	0.8	1.0	14	37	True	True	True	R1|R1_rc
404_HG8Z82_1	656	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	19	1	0.95	1.0	59	78	True	True	True	R1|R1_rc
405_HG8Z82_1	588	R1	33.5	20	18	2	0.9	1.0	0	20	R1	19.5	20	18	2	0.9	1.0	27	64	True	True	True	R1|R1
406_HG8Z82_1	1525	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
407_HG8Z82_1	1384	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
408_HG8Z82_1	985	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	37.0	20	19	1	0.95	1.0	52	72	True	True	True	R1|R1_rc
409_HG8Z82_1	741	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	1	21	True	True	True	R1|R1_rc
410_HG8Z82_1	682	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
411_HG8Z82_1	374	R1_rc	19.0	20	14	6	0.7	1.0	57	77	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
412_HG8Z82_1	279	R1	40.0	20	20	0	1.0	1.0	0	20	R1	17.0	20	12	8	0.6	1.0	10	23	True	False	False	NA
413_HG8Z82_1	435	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	36.0	20	19	1	0.95	1.0	60	80	True	True	True	R1|R1_rc
414_HG8Z82_1	699	R1_rc	16.5	20	13	7	0.65	1.0	37	59	R1_rc	22.5	20	16	4	0.8	1.0	28	51	False	True	False	NA
415_HG8Z82_1	296	R1_rc	23.0	20	16	4	0.8	1.0	54	77	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1_rc|R1_rc
416_HG8Z82_1	394	R1	31.0	20	16	4	0.8	1.0	4	21	R1_rc	16.5	20	13	7	0.65	1.0	3	24	True	False	False	NA
417_HG8Z82_1	345	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
418_HG8Z82_1	750	R1	20.0	20	10	10	0.5	1.0	10	20	R1_rc	16.5	20	14	6	0.7	1.0	6	31	False	False	False	NA
419_HG8Z82_1	494	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
420_HG8Z82_1	626	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	28.0	20	16	4	0.8	1.0	61	80	True	True	True	R1|R1_rc
421_HG8Z82_1	687	R1_rc	17.5	20	15	5	0.75	1.0	41	63	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
422_HG8Z82_1	252	R1	18.5	20	18	2	0.9	1.0	39	72	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
423_HG8Z82_1	352	R1_rc	18.5	20	13	7	0.65	1.0	31	50	R1_rc	40.0	20	20	0	1.0	1.0	59	79	False	True	False	NA
424_HG8Z82_1	838	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	32.0	20	16	4	0.8	1.0	64	80	True	True	True	R1|R1_rc
425_HG8Z82_1	323	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
426_HG8Z82_1	352	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
427_HG8Z82_1	411	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
428_HG8Z82_1	487	R1	19.5	20	16	4	0.8	1.0	7	36	R1_rc	28.0	20	15	5	0.75	1.0	57	73	True	False	False	NA
429_HG8Z82_1	1591	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	23.0	20	15	5	0.75	1.0	11	31	True	False	False	NA
430_HG8Z82_1	342	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	38.0	20	20	0	1.0	1.0	58	79	True	True	True	R1|R1_rc
431_HG8Z82_1	371	R1_rc	16.5	20	13	7	0.65	1.0	55	76	R1_rc	40.0	20	20	0	1.0	1.0	57	77	False	True	False	NA
432_HG8Z82_1	633	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
433_HG8Z82_1	485	R1	33.0	20	17	3	0.85	1.0	2	20	R1_rc	17.5	20	12	8	0.6	1.0	30	48	True	False	False	NA
434_HG8Z82_1	1331	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
435_HG8Z82_1	2755	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
