orientation	count	pct_of_all_reads	pct_of_flanked_reads
R1|R1_rc	3105	0.6732437120555074	0.9246575342465754
R1|R1	150	0.03252385082393756	0.04466944609886837
R1_rc|R1_rc	94	0.020381613183000868	0.02799285288862418
R1_rc|R1	9	0.0019514310494362533	0.0026801667659321023
