length_bin	total_reads	explained_reads	mapped_reads	mean_best_identity	mean_best_query_cov	explained_fraction	mapped_fraction
0-99	2	0	0	0.0	0.0	0.0	0.0
100-199	58	3	15	0.25344310199215675	0.10222212624063874	0.05172413793103448	0.25862068965517243
200-399	833	227	429	0.4716007222332822	0.26260162075959087	0.2725090036014406	0.5150060024009604
400-799	1844	562	1182	0.5473414429498856	0.3403173240763022	0.3047722342733189	0.6409978308026031
800-1199	1057	320	748	0.6102376792607049	0.3833695806597819	0.30274361400189215	0.7076631977294229
1200-1999	707	196	496	0.5852653965143777	0.34464180132682043	0.27722772277227725	0.7015558698727016
2000-4999	111	28	90	0.6416478850405504	0.3414502885483963	0.25225225225225223	0.8108108108108109
