orientation	count	pct_of_all_reads	pct_of_flanked_reads
R1|R1_rc	302	0.0845464725643897	0.7294685990338164
R1_rc|R1_rc	58	0.016237402015677492	0.14009661835748793
R1|R1	52	0.014557670772676373	0.12560386473429952
R1_rc|R1	2	0.0005599104143337066	0.004830917874396135
