read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
3022_MCSS56_1	368	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3023_MCSS56_1	349	R1	44.0	22	22	0	1.0	1.0	5	27	R1_rc	44.0	22	22	0	1.0	1.0	52	74	True	True	True	R1|R1_rc
3024_MCSS56_1	367	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3025_MCSS56_1	366	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	14	36	True	False	False	NA
3026_MCSS56_1	359	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	34.0	22	17	5	0.7727272727272727	1.0	63	80	False	False	False	NA
3027_MCSS56_1	362	R1	37.0	22	20	2	0.9090909090909091	1.0	1	23	R1	26.5	22	16	6	0.7272727272727273	1.0	13	35	True	False	False	NA
3028_MCSS56_1	744	R1	37.0	22	20	2	0.9090909090909091	1.0	5	27	R1	28.5	22	16	6	0.7272727272727273	1.0	2	22	True	False	False	NA
3029_MCSS56_1	366	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3030_MCSS56_1	357	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	24	46	True	False	False	NA
3031_MCSS56_1	366	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	14	36	True	False	False	NA
3032_MCSS56_1	204	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1	17.5	22	14	8	0.6363636363636364	1.0	59	79	False	False	False	NA
3033_MCSS56_1	366	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3034_MCSS56_1	366	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3035_MCSS56_1	368	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	47	69	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3036_MCSS56_1	364	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3037_MCSS56_1	368	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3038_MCSS56_1	364	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3039_MCSS56_1	367	R1	44.0	22	22	0	1.0	1.0	3	25	R1	27.5	22	17	5	0.7727272727272727	1.0	13	36	True	False	False	NA
3040_MCSS56_1	366	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3041_MCSS56_1	363	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	15	37	True	False	False	NA
3042_MCSS56_1	366	R1_rc	33.0	22	19	3	0.8636363636363636	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	True	True	True	R1_rc|R1_rc
3043_MCSS56_1	369	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	53	75	False	True	False	NA
3044_MCSS56_1	421	R1	32.5	22	18	4	0.8181818181818182	1.0	5	26	R1_rc	44.0	22	22	0	1.0	1.0	53	75	True	True	True	R1|R1_rc
3045_MCSS56_1	363	R1	36.0	22	19	3	0.8636363636363636	1.0	4	24	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3046_MCSS56_1	367	R1	42.0	22	21	1	0.9545454545454546	1.0	6	27	R1	26.5	22	16	6	0.7272727272727273	1.0	13	35	True	False	False	NA
3047_MCSS56_1	364	R1	44.0	22	22	0	1.0	1.0	5	27	R1	25.5	22	16	6	0.7272727272727273	1.0	14	36	True	False	False	NA
3048_MCSS56_1	123	R1	44.0	22	22	0	1.0	1.0	5	27	R1	21.0	22	15	7	0.6818181818181818	1.0	53	76	True	False	False	NA
3049_MCSS56_1	191	R1_rc	23.5	22	16	6	0.7272727272727273	1.0	34	57	R1	22.5	22	16	6	0.7272727272727273	1.0	13	37	False	False	False	NA
3050_MCSS56_1	185	R1_rc	18.0	22	15	7	0.6818181818181818	1.0	31	56	R1_rc	26.0	22	17	5	0.7727272727272727	1.0	1	24	False	False	False	NA
3051_MCSS56_1	370	R1	41.0	22	21	1	0.9545454545454546	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3052_MCSS56_1	366	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3053_MCSS56_1	366	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3054_MCSS56_1	367	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3055_MCSS56_1	366	R1	42.0	22	21	1	0.9545454545454546	1.0	6	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3056_MCSS56_1	312	R1_rc	24.0	22	17	5	0.7727272727272727	1.0	42	67	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3057_MCSS56_1	368	R1	44.0	22	22	0	1.0	1.0	5	27	R1	27.5	22	17	5	0.7727272727272727	1.0	12	35	True	False	False	NA
3058_MCSS56_1	369	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	49	71	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3059_MCSS56_1	330	R1	44.0	22	22	0	1.0	1.0	5	27	R1_rc	44.0	22	22	0	1.0	1.0	52	74	True	True	True	R1|R1_rc
3060_MCSS56_1	367	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
